RT,Idiom_lang,relatedness,lang_group,subj
0.55477347,CH-idiom,Control,Monolingual,116
0.622626334,CH-idiom,Exp,Bilingual,1
0.682915159,CH-idiom,Exp,Bilingual,2
0.703543198,CH-idiom,Exp,Bilingual,3
0.772284092,CH-idiom,Exp,Bilingual,4
1.051014398,CH-idiom,Exp,Bilingual,5
0.610429629,CH-idiom,Exp,Bilingual,6
0.802724185,CH-idiom,Exp,Bilingual,7
0.686173491,CH-idiom,Exp,Bilingual,8
0.519269326,CH-idiom,Exp,Bilingual,9
0.861438931,CH-idiom,Exp,Bilingual,10
0.736147822,CH-idiom,Exp,Bilingual,11
0.677211098,CH-idiom,Exp,Bilingual,12
0.674392093,CH-idiom,Exp,Bilingual,13
0.679321548,CH-idiom,Exp,Bilingual,14
1.296774705,CH-idiom,Exp,Bilingual,15
0.655340381,CH-idiom,Exp,Bilingual,16
0.612898899,CH-idiom,Exp,Bilingual,17
0.750266509,CH-idiom,Exp,Bilingual,18
0.752041678,CH-idiom,Exp,Bilingual,19
0.641851459,CH-idiom,Exp,Bilingual,20
0.61785899,CH-idiom,Exp,Bilingual,21
0.748301234,CH-idiom,Exp,Bilingual,22
0.64509257,CH-idiom,Exp,Bilingual,23
0.869812341,CH-idiom,Exp,Bilingual,24
0.793939742,CH-idiom,Exp,Bilingual,25
0.687235399,CH-idiom,Exp,Bilingual,26
0.693734984,CH-idiom,Exp,Bilingual,27
0.710892338,CH-idiom,Exp,Bilingual,28
1.039696803,CH-idiom,Exp,Bilingual,29
0.90327323,CH-idiom,Exp,Bilingual,30
0.807207146,CH-idiom,Exp,Bilingual,31
0.781770865,CH-idiom,Exp,Bilingual,32
0.682048764,CH-idiom,Exp,Bilingual,33
0.808553636,CH-idiom,Exp,Bilingual,34
0.728398264,CH-idiom,Exp,Bilingual,35
0.642436158,CH-idiom,Exp,Bilingual,36
0.723472717,CH-idiom,Exp,Bilingual,37
0.818603646,CH-idiom,Exp,Bilingual,38
0.755017877,CH-idiom,Exp,Bilingual,39
0.92404771,CH-idiom,Exp,Bilingual,40
0.778518571,CH-idiom,Exp,Bilingual,41
0.65144585,CH-idiom,Exp,Bilingual,42
1.180037108,CH-idiom,Exp,Bilingual,43
0.849831255,CH-idiom,Exp,Bilingual,44
0.759638931,CH-idiom,Exp,Bilingual,45
0.59989158,CH-idiom,Exp,Bilingual,46
0.671365174,CH-idiom,Exp,Bilingual,47
0.637128695,CH-idiom,Exp,Bilingual,48
0.767569087,CH-idiom,Exp,Bilingual,49
0.773586446,CH-idiom,Exp,Bilingual,50
0.805136761,CH-idiom,Exp,Bilingual,51
0.94376841,CH-idiom,Exp,Bilingual,52
0.897053957,CH-idiom,Exp,Bilingual,53
0.660694172,CH-idiom,Exp,Monolingual,54
0.579570174,CH-idiom,Exp,Monolingual,55
0.578847567,CH-idiom,Exp,Monolingual,56
1.07489532,CH-idiom,Exp,Monolingual,57
0.619612005,CH-idiom,Exp,Monolingual,58
0.831466053,CH-idiom,Exp,Monolingual,59
0.693010061,CH-idiom,Exp,Monolingual,60
0.611773522,CH-idiom,Exp,Monolingual,61
0.629943713,CH-idiom,Exp,Monolingual,62
0.48372968,CH-idiom,Exp,Monolingual,63
0.537570681,CH-idiom,Exp,Monolingual,64
0.531515241,CH-idiom,Exp,Monolingual,65
0.738257043,CH-idiom,Exp,Monolingual,66
0.774467848,CH-idiom,Exp,Monolingual,67
0.598273005,CH-idiom,Exp,Monolingual,68
0.70905277,CH-idiom,Exp,Monolingual,69
0.633732837,CH-idiom,Exp,Monolingual,70
0.854340092,CH-idiom,Exp,Monolingual,71
0.596965879,CH-idiom,Exp,Monolingual,72
0.890905266,CH-idiom,Exp,Monolingual,73
0.615682267,CH-idiom,Exp,Monolingual,74
0.593930441,CH-idiom,Exp,Monolingual,75
0.591333016,CH-idiom,Exp,Monolingual,76
0.675425181,CH-idiom,Exp,Monolingual,77
0.650422479,CH-idiom,Exp,Monolingual,78
0.61708645,CH-idiom,Exp,Monolingual,79
0.614449077,CH-idiom,Exp,Monolingual,80
0.612971099,CH-idiom,Exp,Monolingual,81
0.483850131,CH-idiom,Exp,Monolingual,82
0.564068482,CH-idiom,Exp,Monolingual,83
0.678020149,CH-idiom,Exp,Monolingual,84
0.590937666,CH-idiom,Exp,Monolingual,85
0.658011914,CH-idiom,Exp,Monolingual,86
0.582048416,CH-idiom,Exp,Monolingual,87
0.683909412,CH-idiom,Exp,Monolingual,88
0.600493235,CH-idiom,Exp,Monolingual,89
0.613964731,CH-idiom,Exp,Monolingual,90
0.593259646,CH-idiom,Exp,Monolingual,91
0.674914153,CH-idiom,Exp,Monolingual,92
0.562238466,CH-idiom,Exp,Monolingual,93
0.64367788,CH-idiom,Exp,Monolingual,94
0.683616628,CH-idiom,Exp,Monolingual,95
0.545670172,CH-idiom,Exp,Monolingual,96
0.580017155,CH-idiom,Exp,Monolingual,97
0.750728125,CH-idiom,Exp,Monolingual,98
0.751784678,CH-idiom,Exp,Monolingual,99
0.585568584,CH-idiom,Exp,Monolingual,100
0.631987044,CH-idiom,Exp,Monolingual,101
0.879541139,CH-idiom,Exp,Monolingual,102
0.661118766,CH-idiom,Exp,Monolingual,103
0.587728251,CH-idiom,Exp,Monolingual,104
0.600450476,CH-idiom,Exp,Monolingual,105
0.831728787,CH-idiom,Exp,Monolingual,106
0.642541359,CH-idiom,Exp,Monolingual,107
0.594360873,CH-idiom,Exp,Monolingual,108
0.58234641,CH-idiom,Exp,Monolingual,109
0.511265948,CH-idiom,Exp,Monolingual,110
0.56387315,CH-idiom,Exp,Monolingual,111
0.65635433,CH-idiom,Exp,Monolingual,112
0.621111905,CH-idiom,Exp,Monolingual,113
0.531443005,CH-idiom,Exp,Monolingual,114
0.768243178,CH-idiom,Exp,Monolingual,115
0.493648249,CH-idiom,Exp,Monolingual,116
0.655984501,EN-idiom,Control,Bilingual,1
0.717598575,EN-idiom,Control,Bilingual,2
0.761990166,EN-idiom,Control,Bilingual,3
0.849990308,EN-idiom,Control,Bilingual,4
1.179257538,EN-idiom,Control,Bilingual,5
0.610214851,EN-idiom,Control,Bilingual,6
1.032346747,EN-idiom,Control,Bilingual,7
0.626638547,EN-idiom,Control,Bilingual,8
0.493422985,EN-idiom,Control,Bilingual,9
1.026840012,EN-idiom,Control,Bilingual,10
0.744834847,EN-idiom,Control,Bilingual,11
0.655774684,EN-idiom,Control,Bilingual,12
0.731257121,EN-idiom,Control,Bilingual,13
0.658571688,EN-idiom,Control,Bilingual,14
1.005023095,EN-idiom,Control,Bilingual,15
0.732640528,EN-idiom,Control,Bilingual,16
0.707912604,EN-idiom,Control,Bilingual,17
0.72765436,EN-idiom,Control,Bilingual,18
0.754642367,EN-idiom,Control,Bilingual,19
0.704967431,EN-idiom,Control,Bilingual,20
0.659215832,EN-idiom,Control,Bilingual,21
0.799940608,EN-idiom,Control,Bilingual,22
0.679619244,EN-idiom,Control,Bilingual,23
0.792305005,EN-idiom,Control,Bilingual,24
0.846874774,EN-idiom,Control,Bilingual,25
0.748838733,EN-idiom,Control,Bilingual,26
0.720549243,EN-idiom,Control,Bilingual,27
0.759802484,EN-idiom,Control,Bilingual,28
1.113022837,EN-idiom,Control,Bilingual,29
0.869113321,EN-idiom,Control,Bilingual,30
0.882782811,EN-idiom,Control,Bilingual,31
0.819138487,EN-idiom,Control,Bilingual,32
